City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Umri,26.5106,78.9367,63.95,38,0,4.61,IN,1611641988
Merauke,-8.4667,140.3333,84.07,77,100,14.07,ID,1611642000
Nemuro,43.3236,145.575,17.6,57,75,3.44,JP,1611642012
Turukhansk,65.8167,87.9833,-38.45,78,69,8.43,RU,1611642023
Machinga,-15.1685,35.3,69.26,92,100,0.81,MW,1611642034
Lagoa,39.05,-27.9833,62.1,87,100,17.13,PT,1611642045
Saint Simons,31.1352,-81.3901,64.4,94,1,6.91,US,1611642058
Wanlaweyn,2.6185,44.8938,79.84,54,14,19.42,SO,1611642069
Hithadhoo,-0.6,73.0833,81.9,68,100,2.86,MV,1611642080
Mana,5.6592,-53.7767,76.3,87,71,11.72,GF,1611642091
Port Hedland,-20.3167,118.5667,98.6,30,100,17.27,AU,1611642103
Inhambane,-23.865,35.3833,86.0,74,40,9.22,MZ,1611642114
Mumbwa,-14.9783,27.0619,64.17,97,100,5.26,ZM,1611641949
General Roca,-39.0333,-67.5833,68.0,42,0,9.22,AR,1611642136
Richards Bay,-28.783,32.0377,75.85,76,97,8.86,ZA,1611642148
Aykhal,66.0,111.5,-35.1,79,15,2.19,RU,1611641956
Seydi,39.4816,62.9137,31.6,92,0,5.37,TM,1611641993
Victor Harbor,-35.5667,138.6167,68.0,64,57,3.0,AU,1611642181
Ilulissat,69.2167,-51.1,3.2,60,0,9.22,GL,1611642192
Atambua,-9.1061,124.8925,79.39,81,87,7.43,ID,1611642061
Namtsy,62.7161,129.6658,-54.4,52,52,2.51,RU,1611642215
Palmer,42.1584,-72.3287,27.0,58,90,2.93,US,1611642226
Port Blair,11.6667,92.75,81.21,65,19,12.26,IN,1611642237
Mayumba,-3.432,10.6554,77.92,86,68,5.19,GA,1611642248
Khatanga,71.9667,102.5,-20.65,87,100,6.96,RU,1611642259
Northam,51.0333,-4.2167,39.99,84,100,5.99,GB,1611642270
Narsaq,60.9167,-46.05,21.2,27,49,26.46,GL,1611642281
Kieta,-6.2167,155.6333,85.71,65,64,7.31,PG,1611642294
Half Moon Bay,37.4636,-122.4286,46.99,71,75,21.85,US,1611642306
Sangmélima,2.9333,11.9833,68.65,95,73,1.81,CM,1611642317
Longonjo,-12.9067,15.2533,63.37,73,65,1.39,AO,1611642328
Barentu,15.1139,37.5928,71.74,59,83,5.08,ER,1611642339
Sikeston,36.8767,-89.5879,42.8,100,90,9.22,US,1611642351
Bubaque,11.2833,-15.8333,76.28,72,10,9.6,GW,1611642362
San Miguel de Cozumel,20.5083,-86.9458,78.01,91,99,4.0,MX,1611642374
Coquimbo,-29.9533,-71.3436,60.8,88,90,4.61,CL,1611642385
Severobaykal'sk,55.65,109.3167,-0.06,80,100,5.64,RU,1611642396
Esperance,-33.8667,121.9,75.2,50,11,20.71,AU,1611642407
Lorengau,-2.0226,147.2712,85.24,67,89,9.62,PG,1611642419
Cairns,-16.9167,145.7667,87.8,58,100,11.5,AU,1611642431
Halifax,44.6453,-63.5724,30.99,86,69,6.91,CA,1611642357
Cayenne,4.9333,-52.3333,78.8,83,90,6.91,GF,1611642453
Kalmunai,7.4167,81.8167,80.04,66,96,13.15,LK,1611642464
Iwaki,37.05,140.8833,51.01,72,100,1.99,JP,1611642475
Husavik,66.0449,-17.3389,21.2,73,90,5.75,IS,1611642486
Nchelenge,-9.3451,28.734,69.19,84,100,3.36,ZM,1611642497
Sozopol,42.4167,27.7,37.4,100,98,3.44,BG,1611642509
Hualmay,-11.0964,-77.6139,70.99,75,100,7.94,PE,1611642521
Grand Gaube,-20.0064,57.6608,82.99,71,18,3.0,MU,1611642532
San Patricio,28.017,-97.5169,69.8,43,90,17.27,US,1611642543
Hofn,64.2539,-15.2082,23.11,88,71,21.83,IS,1611642556
Port Hardy,50.6996,-127.4199,39.2,100,20,3.44,CA,1611642567
Mońki,53.405,22.7979,30.0,94,100,17.76,PL,1611642579
Mahibadhoo,3.7833,72.9667,81.48,76,99,16.91,MV,1611642590
Cabo San Lucas,22.8909,-109.9124,57.99,75,95,1.99,MX,1611642601
Kathmandu,27.7167,85.3167,63.86,30,0,2.66,NP,1611642464
Ubari,26.5921,12.7805,58.68,32,99,6.69,LY,1611642623
Airai,-8.9266,125.4092,67.95,99,100,4.7,TL,1611642634
Puri,19.8,85.85,80.6,69,40,3.44,IN,1611642646
Bitung,1.4451,125.1824,80.6,78,40,9.22,ID,1611642657
Kholm,59.2667,32.85,35.94,90,100,8.93,RU,1611642669
Pochutla,15.7432,-96.4661,73.0,67,0,3.11,MX,1611642680
Alofi,-19.0595,-169.9187,73.4,94,100,3.44,NU,1611642691
Sandwick,60.0,-1.25,32.0,86,0,3.44,GB,1611642702
Mar del Plata,-38.0023,-57.5575,68.0,94,90,9.22,AR,1611642713
Chernoye,55.3038,40.233,32.9,95,98,12.3,RU,1611642725
Sitka,57.0531,-135.33,28.4,93,1,4.68,US,1611642736
Karaton,-6.3424,106.1045,93.99,70,40,17.27,ID,1611642748
Ţahţā,26.7693,31.5021,44.6,93,0,2.3,EG,1611642759
Ust-Nera,64.5667,143.2,-26.84,75,100,2.55,RU,1611642733
Tiarei,-17.5333,-149.3333,82.4,57,40,5.75,PF,1611642691
Bacolod City,10.6667,122.95,82.74,67,54,14.72,PH,1611642795
Ciudad del Carmen,18.6333,-91.8333,76.57,76,1,14.9,MX,1611642591
Norman Wells,65.282,-126.8329,-14.8,76,75,4.61,CA,1611642818
Songjianghe,42.1859,127.479,29.5,87,83,8.77,CN,1611642829
Carutapera,-1.195,-46.02,76.19,89,100,4.05,BR,1611642840
Chālūs,36.655,51.4204,46.4,66,0,3.91,IR,1611642851
Te Anau,-45.4167,167.7167,64.92,67,100,8.63,NZ,1611642862
Ambilobe,-13.2,49.05,85.14,68,13,4.5,MG,1611642874
Zhezkazgan,47.8043,67.7144,14.14,96,81,5.06,KZ,1611642885
Kandrian,-6.2167,149.55,86.79,70,100,6.71,PG,1611642896
Faya,18.3851,42.4509,62.6,39,0,1.34,SA,1611642907
Nyrob,60.733,56.7202,34.99,97,100,9.78,RU,1611642918
Podor,16.6527,-14.9587,60.8,33,0,2.3,MR,1611642929
Mahanoro,-19.9,48.8,84.76,64,40,6.49,MG,1611642940
Eyl,7.9803,49.8164,78.08,60,91,19.46,SO,1611642951
Tasiilaq,65.6145,-37.6368,6.8,51,91,16.11,GL,1611642963
Manjacaze,-24.7117,33.8828,84.81,67,67,6.06,MZ,1611642974
Cape Town,-33.9258,18.4232,75.0,73,20,16.11,ZA,1611642889
Douentza,14.9951,-2.9517,57.07,28,70,2.24,ML,1611642996
Nara,34.6851,135.8049,66.2,48,75,9.22,JP,1611643007
Prado,-17.3411,-39.2208,75.13,87,88,6.62,BR,1611643018
Hirado,33.3597,129.5531,59.0,94,75,16.11,JP,1611643030
Gamba,-2.65,10.0,79.11,86,79,3.76,GA,1611643041
Cururupu,-1.8283,-44.8683,74.66,96,97,2.89,BR,1611643053
Urucará,-2.5364,-57.76,72.91,98,98,1.81,BR,1611643064
Labuhan,-6.8844,112.2051,85.15,71,81,9.22,ID,1611643075
Alta Floresta,-9.8756,-56.0861,70.14,97,92,2.53,BR,1611643086
Baruun-Urt,46.6806,113.2792,0.5,84,0,15.32,MN,1611643097
Velika Kladuša,45.1894,15.8117,27.0,94,7,1.61,BA,1611643108
Faanui,-16.4833,-151.75,81.12,77,100,17.94,PF,1611643120
Hukeri,16.2333,74.6,80.6,29,0,6.91,IN,1611643131
Corbélia,-24.7989,-53.3067,64.51,98,97,4.56,BR,1611643143
Mirny,62.5353,113.9611,-36.4,82,64,2.46,RU,1611643154
Port Lincoln,-34.7333,135.8667,67.03,56,0,14.7,AU,1611643165
Kaitangata,-46.2817,169.8464,78.01,40,100,15.01,NZ,1611643176
Carnarvon,-24.8667,113.6333,82.4,54,0,19.57,AU,1611643187
Liberty,31.8335,-81.5004,66.2,82,1,8.05,US,1611643198
Tiksi,71.6872,128.8694,-35.9,82,98,3.53,RU,1611643209
Kyabé,9.4515,18.9449,80.15,17,6,8.39,TD,1611643220
Intipucá,13.1969,-88.0544,73.92,76,1,2.42,SV,1611643232
Alice Springs,-23.7,133.8833,100.4,23,90,11.5,AU,1611643243
Muroto-misakicho,33.2833,134.15,60.8,88,75,25.32,JP,1611643254
Manggar,-2.8833,108.2667,83.68,72,29,6.69,ID,1611643265
Namasuba,0.6894,32.4214,79.14,48,100,2.73,UG,1611643276
Topeka,39.0483,-95.678,28.4,93,90,8.05,US,1611643287
Verkh-Suetka,53.3,80.05,-4.5,91,96,4.88,RU,1611643298
Diffa,13.3154,12.6113,69.94,20,88,13.98,NE,1611643309
Thunder Bay,48.4001,-89.3168,-2.99,77,1,5.35,CA,1611643321
Chokurdakh,70.6333,147.9167,-41.1,77,7,1.74,RU,1611643332
Magway,20.15,94.9167,88.7,24,0,1.01,MM,1611643343
Barzas,55.7167,86.3167,-29.2,68,40,2.24,RU,1611643354
Yulara,-25.2406,130.9889,91.4,40,40,11.5,AU,1611643365
Bonavista,48.6499,-53.1147,30.99,100,100,6.91,CA,1611643376
Meadow Lake,34.8014,-106.5436,36.0,93,90,12.66,US,1611643387
Padang,-0.9492,100.3543,86.0,66,40,4.61,ID,1611643398
Egvekinot,66.3167,-179.1667,-9.78,89,100,8.48,RU,1611643409
Longyearbyen,78.2186,15.6401,10.4,61,20,17.27,SJ,1611643215
Walvis Bay,-22.9575,14.5053,70.0,88,92,5.75,NA,1611643433
Tahe,52.3333,124.7333,-8.27,86,100,4.21,CN,1611643444
Lüderitz,-26.6481,15.1594,70.09,57,57,19.1,NA,1611643455
Makat,47.6469,53.3463,30.16,95,98,19.82,KZ,1611643466
Iqaluit,63.7506,-68.5145,-2.0,78,1,11.5,CA,1611643454
Makakilo City,21.3469,-158.0858,71.6,94,75,4.61,US,1611643279
Swellendam,-34.0226,20.4417,69.8,73,83,5.75,ZA,1611643499
Palāsa,18.7667,84.4167,82.62,55,69,8.61,IN,1611643397
Pacific Grove,36.6177,-121.9166,48.99,61,75,11.5,US,1611643522
Klaksvík,62.2266,-6.589,28.4,74,84,9.22,FO,1611643533
Andahuaylas,-13.6556,-73.3872,51.55,81,100,2.68,PE,1611643544
Bosaso,11.2842,49.1816,77.0,69,0,21.85,SO,1611643555
Gizo Government Station,-8.103,156.8419,85.05,69,88,11.77,SB,1611643566
Vysokogornyy,50.1167,139.15,1.94,91,100,4.81,RU,1611643578
Cockburn Town,21.4612,-71.1419,75.72,79,100,20.62,TC,1611643589
Kasama,-10.2129,31.1808,63.28,92,95,5.03,ZM,1611643600
Geraldton,-28.7667,114.6,73.4,62,0,18.16,AU,1611643611
Caronport,50.4501,-105.8179,-16.6,76,29,5.75,CA,1611643622
Touros,-5.1989,-35.4608,77.88,81,99,11.61,BR,1611643633
Kavaratti,10.5669,72.642,81.41,71,41,10.76,IN,1611643644
Chazuta,-6.5742,-76.1367,72.05,87,99,0.51,PE,1611643655
Deputatsky,69.3,139.9,-43.17,83,85,2.35,RU,1611643667
Mayor Pablo Lagerenza,-19.9309,-60.7718,74.52,68,100,9.06,PY,1611643679
Soubre,5.7856,-6.6083,71.19,97,87,2.06,CI,1611643690
Boueni,-12.9025,45.0761,87.8,58,0,3.44,YT,1611643701
Karatau,43.1667,70.4667,19.65,94,50,3.51,KZ,1611643713
Auki,-8.7676,160.7034,82.99,71,100,7.07,SB,1611643724
Shimoda,34.6667,138.95,55.4,71,75,9.22,JP,1611643736
Kumul,42.8,93.45,26.89,72,100,11.14,CN,1611643747
Belyy Yar,53.6039,91.3903,-16.6,69,100,4.47,RU,1611643758
Lompoc,34.6391,-120.4579,48.2,61,7,11.5,US,1611643769
Myrtle Beach,33.6891,-78.8867,63.0,94,1,8.05,US,1611643506
Burnie,-41.0667,145.9167,69.01,48,0,17.0,AU,1611643792
Linkou,45.3,130.2833,27.7,93,15,5.64,CN,1611643803
Nome,64.5011,-165.4064,3.2,78,20,0.96,US,1611643815
Bac Lieu,9.285,105.7244,84.31,56,93,16.08,VN,1611643826
San Mateo del Mar,16.2,-95.0,80.82,75,0,13.11,MX,1611643837
Ol'ga,43.7444,135.2892,30.29,98,100,1.43,RU,1611643848
Mazagão,-0.115,-51.2894,77.0,94,40,2.3,BR,1611643859
Zhigansk,66.7697,123.3711,-53.66,70,93,0.89,RU,1611643871
Mulgund,15.25,75.5333,82.4,36,0,4.61,IN,1611643873
Aswān,24.0934,32.907,61.86,30,0,10.38,EG,1611643893
Souillac,-20.5167,57.5167,86.0,58,20,9.22,MU,1611643905
Mapiripán,2.8892,-72.1256,73.96,92,100,2.86,CO,1611643916
Mazatlán,23.2167,-106.4167,63.0,67,75,4.61,MX,1611643820
Monselice,45.2424,11.749,32.0,85,0,1.99,IT,1611643938
Yerofey Pavlovich,53.9667,121.9667,-4.49,88,100,5.53,RU,1611643949
Kloulklubed,7.0419,134.2556,83.07,79,100,18.39,PW,1611643960
Nizwá,22.9333,57.5333,75.76,27,0,4.79,OM,1611643766
Hanzhong,33.0728,107.0303,53.2,40,100,5.55,CN,1611643982
Yumen,40.2833,97.2,30.31,67,57,20.71,CN,1611643994
Přelouč,50.0398,15.5603,30.2,86,0,10.36,CZ,1611644005
Nur-Sultan,51.1801,71.446,22.01,98,99,10.96,KZ,1611643900
Delījān,33.9905,50.6838,43.74,44,100,3.22,IR,1611644027
Plettenberg Bay,-34.0527,23.3716,73.71,64,0,10.25,ZA,1611644038
Moose Factory,51.2585,-80.6094,5.0,85,90,3.44,CA,1611644049
Zharkent,44.1628,80.0,24.76,88,0,3.4,KZ,1611643827
Newport,51.5877,-2.9984,37.0,95,100,10.74,GB,1611644071
Ixtapa,20.7,-105.2,62.08,83,12,2.35,MX,1611644082
Yaring,6.8662,101.3689,87.8,58,20,6.91,TH,1611644095
Nadym,65.5333,72.5167,-17.79,88,100,16.24,RU,1611644106
Tyrma,50.0833,132.1667,8.4,92,100,5.39,RU,1611644117
High Rock,26.6208,-78.2833,74.19,84,100,15.3,BS,1611644128
Vestmannaeyjar,63.4427,-20.2734,32.0,74,75,37.98,IS,1611644091
Rawson,-43.3002,-65.1023,63.45,39,0,9.17,AR,1611644150
Hopelchén,19.7667,-89.85,71.8,93,32,5.61,MX,1611644161
Acarí,-15.4311,-74.6158,71.6,68,98,1.25,PE,1611644172
Pilar,-9.5972,-35.9567,73.4,94,75,11.5,BR,1611644184
Olinda,-8.0089,-34.8553,78.8,69,40,9.22,BR,1611644195
Belmonte,-15.8631,-38.8828,73.4,88,40,4.61,BR,1611644206
Amahai,-3.3333,128.9167,85.6,72,100,9.55,ID,1611644217
Huntington,38.4193,-82.4452,39.99,93,90,6.91,US,1611644228
Karnobat,42.65,26.9833,41.0,100,100,3.44,BG,1611644239
Barcelos,41.5388,-8.6151,57.2,100,75,5.75,PT,1611644250
Haines Junction,60.7522,-137.5108,6.8,92,94,1.14,CA,1611644261
Tsimmerbude,54.675,20.1347,35.6,80,75,13.42,RU,1611644273
Ancud,-41.8697,-73.8203,48.0,93,0,2.82,CL,1611644284
Torbay,47.6666,-52.7314,30.0,100,90,11.5,CA,1611644295
São Filipe,14.8961,-24.4956,71.85,68,0,4.92,CV,1611644306
Yuxia,34.0615,108.6291,48.2,46,97,4.47,CN,1611644318
Kudahuvadhoo,2.6708,72.8944,81.57,78,4,17.11,MV,1611644329
Cravo Norte,6.3017,-70.2041,76.42,68,100,5.06,CO,1611644340
Săsciori,45.8667,23.5833,30.2,93,90,0.83,RO,1611644351
Itarema,-2.9248,-39.9167,77.88,86,100,10.29,BR,1611644363
Verkhovazh'ye,60.7472,42.0465,31.01,98,93,6.8,RU,1611644374
Isangel,-19.55,169.2667,82.4,78,90,5.75,VU,1611644385
Toora-Khem,52.4675,96.11,-4.58,85,100,0.74,RU,1611644396
Police,53.5521,14.5718,34.0,99,28,7.85,PL,1611644351
Dillon,34.4166,-79.3712,53.01,100,90,7.92,US,1611644418
College Station,30.628,-96.3344,51.8,71,1,2.37,US,1611644330
